iter	Passed	Remaining
0	131	131590
1	132	66005
2	133	44316
3	134	33463
4	135	26940
5	136	22583
6	137	19460
7	138	17139
8	139	15327
9	139	13827
10	140	12635
11	141	11643
12	142	10801
13	143	10084
14	143	9445
15	144	8910
16	145	8438
17	146	8012
18	147	7635
19	148	7263
20	149	6950
21	149	6667
22	151	6417
23	152	6182
24	152	5962
25	153	5762
26	154	5576
27	155	5402
28	156	5242
29	157	5095
30	158	4959
31	159	4813
32	159	4688
33	160	4563
34	161	4451
35	162	4346
36	163	4249
37	164	4156
38	165	4067
39	165	3982
40	166	3900
41	167	3824
42	168	3741
43	168	3671
44	170	3608
45	170	3546
46	172	3495
47	173	3438
48	174	3382
49	175	3329
50	176	3283
51	177	3234
52	177	3175
53	178	3129
54	179	3087
55	180	3045
56	181	3005
57	182	2969
58	183	2930
59	184	2892
60	185	2856
61	186	2822
62	187	2790
63	188	2762
64	190	2734
65	190	2697
66	191	2670
67	192	2637
68	193	2608
69	194	2580
70	195	2554
71	196	2531
72	197	2507
73	198	2483
74	199	2459
75	200	2435
76	201	2412
77	202	2392
78	203	2371
79	204	2349
80	205	2328
81	206	2307
82	207	2287
83	207	2267
84	208	2249
85	209	2231
86	210	2212
87	211	2194
88	212	2176
89	213	2159
90	214	2142
91	215	2127
92	216	2112
93	217	2096
94	218	2080
95	218	2060
96	219	2045
97	220	2030
98	221	2017
99	222	2004
100	222	1984
101	223	1971
102	224	1957
103	225	1944
104	226	1931
105	227	1919
106	228	1904
107	229	1892
108	229	1877
109	230	1865
110	231	1853
111	232	1842
112	233	1831
113	234	1820
114	235	1811
115	236	1800
116	237	1789
117	238	1779
118	238	1769
119	239	1759
120	240	1749
121	242	1741
122	243	1732
123	244	1724
124	245	1716
125	246	1706
126	246	1697
127	248	1690
128	249	1683
129	250	1674
130	251	1665
131	252	1657
132	252	1648
133	253	1640
134	254	1633
135	255	1622
136	256	1615
137	257	1607
138	258	1599
139	259	1593
140	260	1586
141	261	1580
142	262	1573
143	263	1565
144	264	1558
145	265	1551
146	266	1544
147	267	1537
148	268	1532
149	268	1523
150	269	1516
151	270	1509
152	271	1503
153	272	1496
154	273	1491
155	274	1486
156	275	1480
157	276	1475
158	277	1469
159	278	1463
160	279	1457
161	280	1452
162	281	1447
163	282	1441
164	283	1435
165	284	1429
166	285	1424
167	286	1418
168	287	1414
169	288	1408
170	289	1403
171	290	1397
172	291	1392
173	292	1386
174	293	1381
175	294	1377
176	295	1371
177	296	1366
178	296	1361
179	297	1356
180	298	1351
181	299	1346
182	300	1342
183	301	1338
184	302	1334
185	303	1329
186	304	1325
187	306	1321
188	306	1317
189	308	1313
190	309	1308
191	309	1304
192	310	1299
193	311	1295
194	312	1290
195	313	1287
196	314	1283
197	315	1278
198	316	1274
199	317	1270
200	318	1265
201	319	1261
202	320	1258
203	321	1254
204	322	1250
205	323	1246
206	324	1242
207	325	1238
208	326	1234
209	327	1230
210	328	1227
211	329	1222
212	329	1219
213	330	1215
214	331	1211
215	332	1207
216	333	1204
217	334	1201
218	335	1198
219	336	1194
220	337	1190
221	338	1187
222	339	1184
223	341	1181
224	342	1178
225	343	1175
226	344	1171
227	345	1168
228	345	1163
229	346	1160
230	347	1158
231	349	1155
232	350	1152
233	350	1148
234	351	1145
235	352	1142
236	353	1139
237	354	1136
238	355	1133
239	356	1129
240	357	1126
241	358	1123
242	359	1120
243	360	1118
244	361	1115
245	363	1112
246	364	1109
247	365	1106
248	366	1104
249	367	1101
250	368	1098
251	369	1096
252	370	1093
253	371	1090
254	372	1087
255	373	1085
256	374	1082
257	375	1079
258	376	1076
259	377	1073
260	378	1070
261	379	1068
262	380	1066
263	381	1063
264	382	1060
265	383	1057
266	384	1054
267	385	1052
268	386	1049
269	387	1047
270	388	1044
271	389	1041
272	390	1038
273	391	1036
274	392	1033
275	393	1031
276	394	1028
277	395	1026
278	396	1023
279	397	1021
280	398	1019
281	399	1017
282	400	1015
283	402	1014
284	403	1012
285	404	1009
286	405	1007
287	406	1005
288	407	1003
289	408	1001
290	410	998
291	410	996
292	412	994
293	413	992
294	414	990
295	415	988
296	416	986
297	417	984
298	419	982
299	420	980
300	421	978
301	422	976
302	423	975
303	425	973
304	426	971
305	427	969
306	428	967
307	429	965
308	431	963
309	432	962
310	433	960
311	435	959
312	436	958
313	437	956
314	439	955
315	440	953
316	441	952
317	442	949
318	444	947
319	445	946
320	446	944
321	447	943
322	449	941
323	450	939
324	451	938
325	453	936
326	454	934
327	455	932
328	456	930
329	457	929
330	458	927
331	459	925
332	461	923
333	462	921
334	463	919
335	464	918
336	465	916
337	467	914
338	468	913
339	469	911
340	471	910
341	472	908
342	473	906
343	474	905
344	476	904
345	478	903
346	479	901
347	480	899
348	481	898
349	482	896
350	484	895
351	485	894
352	486	892
353	487	890
354	489	888
355	490	887
356	491	885
357	492	883
358	494	882
359	495	880
360	496	879
361	497	877
362	499	875
363	500	873
364	501	871
365	502	869
366	503	867
367	504	865
368	505	864
369	506	862
370	507	860
371	508	859
372	510	857
373	511	855
374	512	853
375	513	851
376	514	849
377	515	848
378	516	846
379	517	844
380	518	842
381	519	841
382	521	839
383	522	837
384	523	836
385	524	834
386	526	833
387	527	831
388	528	830
389	529	828
390	530	826
391	532	825
392	533	823
393	534	822
394	535	820
395	536	819
396	538	817
397	539	815
398	540	814
399	541	812
400	543	811
401	544	810
402	545	808
403	546	806
404	548	805
405	549	803
406	550	802
407	551	800
408	553	799
409	554	797
410	555	796
411	557	795
412	558	793
413	559	792
414	561	791
415	562	789
416	563	788
417	564	786
418	566	785
419	567	783
420	568	781
421	569	780
422	571	779
423	572	777
424	573	776
425	575	774
426	576	773
427	577	771
428	578	770
429	580	769
430	581	767
431	582	766
432	583	764
433	585	763
434	586	761
435	587	760
436	589	758
437	590	757
438	591	755
439	592	753
440	593	752
441	594	751
442	596	749
443	597	747
444	598	746
445	599	744
446	600	743
447	601	741
448	603	740
449	604	738
450	605	737
451	606	735
452	608	734
453	609	732
454	610	731
455	611	729
456	612	728
457	614	726
458	615	725
459	616	723
460	617	722
461	618	720
462	620	719
463	621	717
464	622	716
465	623	714
466	624	713
467	626	711
468	627	710
469	628	708
470	629	707
471	630	705
472	632	704
473	633	702
474	634	701
475	635	699
476	637	698
477	638	696
478	639	695
479	640	694
480	641	692
481	643	691
482	644	689
483	645	688
484	647	687
485	648	685
486	649	684
487	650	682
488	652	681
489	653	679
490	654	678
491	655	677
492	657	675
493	658	674
494	659	672
495	660	671
496	662	670
497	663	668
498	664	667
499	665	665
500	666	664
501	668	662
502	669	661
503	670	659
504	672	658
505	673	657
506	675	656
507	676	654
508	677	653
509	678	652
510	680	650
511	681	649
512	682	647
513	683	646
514	685	645
515	686	643
516	687	642
517	688	641
518	690	639
519	691	638
520	692	637
521	694	635
522	695	634
523	696	632
524	698	631
525	699	630
526	700	628
527	701	627
528	702	625
529	704	624
530	705	622
531	706	621
532	707	620
533	709	618
534	710	617
535	711	616
536	713	614
537	714	613
538	715	612
539	717	610
540	718	609
541	719	608
542	720	606
543	721	605
544	723	603
545	724	602
546	725	600
547	726	599
548	728	598
549	729	596
550	730	595
551	732	594
552	733	592
553	734	591
554	736	590
555	737	588
556	738	587
557	739	585
558	740	584
559	742	583
560	743	581
561	745	580
562	746	579
563	747	577
564	748	576
565	750	575
566	751	574
567	752	572
568	754	571
569	755	569
570	756	568
571	757	567
572	759	565
573	760	564
574	761	562
575	762	561
576	764	560
577	765	558
578	766	557
579	767	555
580	768	554
581	770	553
582	771	551
583	773	550
584	774	549
585	776	548
586	777	546
587	778	545
588	779	543
589	780	542
590	781	541
591	783	539
592	784	538
593	785	537
594	787	535
595	788	534
596	789	533
597	791	531
598	792	530
599	793	528
600	794	527
601	796	526
602	797	525
603	798	523
604	799	522
605	801	521
606	802	519
607	804	518
608	805	516
609	806	515
610	807	514
611	809	513
612	810	511
613	812	510
614	813	508
615	814	507
616	815	506
617	816	504
618	818	503
619	819	502
620	820	500
621	822	499
622	823	498
623	824	496
624	825	495
625	827	494
626	828	492
627	829	491
628	830	490
629	832	488
630	833	487
631	834	485
632	836	484
633	837	483
634	838	482
635	840	480
636	841	479
637	842	478
638	844	477
639	845	475
640	846	474
641	847	472
642	848	471
643	849	469
644	851	468
645	852	467
646	853	465
647	854	464
648	856	462
649	857	461
650	858	460
651	859	458
652	860	457
653	861	455
654	863	454
655	864	453
656	865	451
657	866	450
658	868	449
659	869	447
660	870	446
661	871	444
662	872	443
663	874	442
664	875	441
665	877	439
666	878	438
667	879	437
668	880	435
669	882	434
670	883	433
671	884	431
672	886	430
673	887	429
674	888	427
675	889	426
676	891	425
677	892	423
678	893	422
679	895	421
680	896	419
681	897	418
682	898	417
683	900	415
684	901	414
685	902	413
686	904	412
687	905	410
688	906	409
689	908	408
690	909	406
691	910	405
692	911	404
693	913	402
694	915	401
695	916	400
696	917	398
697	918	397
698	920	396
699	921	394
700	922	393
701	923	392
702	925	390
703	926	389
704	927	388
705	928	386
706	930	385
707	931	384
708	932	382
709	934	381
710	935	380
711	936	378
712	938	377
713	939	376
714	940	374
715	941	373
716	942	372
717	944	370
718	945	369
719	946	368
720	947	366
721	948	365
722	949	363
723	950	362
724	952	361
725	953	359
726	954	358
727	955	357
728	956	355
729	957	354
730	959	353
731	960	351
732	961	350
733	962	348
734	964	347
735	965	346
736	966	344
737	967	343
738	969	342
739	970	340
740	971	339
741	972	338
742	973	336
743	974	335
744	976	334
745	977	332
746	978	331
747	979	330
748	980	328
749	982	327
750	983	326
751	984	324
752	986	323
753	988	322
754	989	321
755	990	319
756	992	318
757	993	317
758	994	315
759	996	314
760	997	313
761	999	312
762	1000	310
763	1001	309
764	1003	308
765	1004	306
766	1005	305
767	1007	304
768	1008	302
769	1009	301
770	1011	300
771	1012	298
772	1013	297
773	1015	296
774	1016	295
775	1017	293
776	1019	292
777	1020	291
778	1022	289
779	1023	288
780	1024	287
781	1026	286
782	1027	284
783	1029	283
784	1030	282
785	1031	280
786	1032	279
787	1033	278
788	1034	276
789	1035	275
790	1036	273
791	1037	272
792	1039	271
793	1040	269
794	1041	268
795	1042	267
796	1043	265
797	1043	264
798	1045	262
799	1046	261
800	1063	264
801	1064	262
802	1065	261
803	1066	260
804	1068	258
805	1069	257
806	1070	256
807	1071	254
808	1073	253
809	1075	252
810	1076	250
811	1077	249
812	1078	248
813	1081	247
814	1082	245
815	1083	244
816	1084	242
817	1086	241
818	1087	240
819	1088	239
820	1090	237
821	1092	236
822	1093	235
823	1094	233
824	1095	232
825	1097	231
826	1098	229
827	1100	228
828	1101	227
829	1102	225
830	1103	224
831	1105	223
832	1106	221
833	1108	220
834	1109	219
835	1110	217
836	1111	216
837	1113	215
838	1114	213
839	1116	212
840	1118	211
841	1119	210
842	1120	208
843	1122	207
844	1123	206
845	1124	204
846	1125	203
847	1126	201
848	1128	200
849	1130	199
850	1131	198
851	1132	196
852	1133	195
853	1135	194
854	1136	192
855	1138	191
856	1139	190
857	1140	188
858	1142	187
859	1143	186
860	1145	184
861	1147	183
862	1148	182
863	1149	180
864	1151	179
865	1152	178
866	1153	176
867	1154	175
868	1156	174
869	1158	173
870	1159	171
871	1160	170
872	1162	169
873	1163	167
874	1165	166
875	1167	165
876	1168	163
877	1169	162
878	1171	161
879	1172	159
880	1173	158
881	1174	157
882	1175	155
883	1177	154
884	1178	153
885	1179	151
886	1180	150
887	1182	149
888	1184	147
889	1185	146
890	1186	145
891	1187	143
892	1189	142
893	1190	141
894	1192	139
895	1194	138
896	1195	137
897	1197	136
898	1198	134
899	1200	133
900	1201	132
901	1203	130
902	1204	129
903	1205	128
904	1206	126
905	1208	125
906	1210	124
907	1211	122
908	1213	121
909	1214	120
910	1216	118
911	1218	117
912	1219	116
913	1220	114
914	1222	113
915	1224	112
916	1225	110
917	1226	109
918	1228	108
919	1229	106
920	1230	105
921	1231	104
922	1233	102
923	1233	101
924	1234	100
925	1235	98
926	1237	97
927	1238	96
928	1239	94
929	1240	93
930	1241	92
931	1242	90
932	1244	89
933	1245	88
934	1246	86
935	1247	85
936	1248	83
937	1250	82
938	1251	81
939	1253	79
940	1254	78
941	1255	77
942	1257	75
943	1258	74
944	1259	73
945	1260	71
946	1261	70
947	1262	69
948	1264	67
949	1265	66
950	1266	65
951	1267	63
952	1268	62
953	1270	61
954	1271	59
955	1272	58
956	1273	57
957	1274	55
958	1275	54
959	1276	53
960	1277	51
961	1278	50
962	1279	49
963	1280	47
964	1281	46
965	1282	45
966	1284	43
967	1285	42
968	1286	41
969	1287	39
970	1288	38
971	1290	37
972	1291	35
973	1292	34
974	1293	33
975	1294	31
976	1295	30
977	1297	29
978	1298	27
979	1299	26
980	1300	25
981	1302	23
982	1303	22
983	1305	21
984	1306	19
985	1307	18
986	1308	17
987	1310	15
988	1312	14
989	1313	13
990	1314	11
991	1315	10
992	1317	9
993	1318	7
994	1320	6
995	1321	5
996	1322	3
997	1324	2
998	1326	1
999	1327	0
